"","year","facility","city","state","facilityClergy","bishop","cmdmWorker","serviceRegularity","serviceFrequency","place","lat","lng"
"173",1862,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"174",1863,"Grace Church","Baltimore","Maryland","Benjamin B. Griswold","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"175",1864,"Grace Church","Baltimore","Maryland","J.H. Hobart","William R. Whittingham","John P. Ijams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"176",1865,"Grace Church","Baltimore","Maryland","J.H. Hobart","William R. Whittingham","John P. Ijams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"177",1866,"Grace Church","Baltimore","Maryland","J.H. Hobart","William R. Whittingham","John P. Ijams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"178",1867,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"179",1868,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"180",1869,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"181",1870,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"182",1871,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"183",1872,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"184",1873,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"185",1874,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","John Covell","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"186",1874,"St. Anne's Church","Annapolis","Maryland","William S. Southgate","William R. Whittingham","","occasional","","Annapolis, Maryland",38.9786401,-76.492786
"187",1875,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Lewis C. Tuck","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"188",1876,"St. Anne's Church","Annapolis","Maryland","William S. Southgate","William R. Whittingham","Gallaudet, Chamberlain","Itinerant","intermittent","Annapolis, Maryland",38.9786401,-76.492786
"189",1876,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Lewis C. Tuck","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"190",1877,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Gallaudet, Chamberlain, Syle","","","Baltimore, Maryland",39.2908816,-76.610759
"191",1878,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Clerc","regular","monthly","Baltimore, Maryland",39.2908816,-76.610759
"192",1878,"St. John's Church","Hagerstown","Maryland","Walter A. Mitchell","William R. Whittingham","Gallaudet","Itinerant","once","Hagerstown, Maryland",39.6419219,-77.7202641
"193",1878,"","Baltimore","Maryland","","William R. Whittingham","Job Turner","Itinerant","","Baltimore, Maryland",39.2908816,-76.610759
"194",1878,"St. Anne's Church","Annapolis","Maryland","William S. Southgate","William R. Whittingham","Turner; Chamberlain","Itinerant","","Annapolis, Maryland",38.9786401,-76.492786
"195",1878,"Maryland Institution for Deaf-Mutes","Frederick","Maryland","","","Job Turner","Itinerant","","Frederick, Maryland",39.4142186,-77.4109269
"196",1879,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","Chamberlain","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"197",1879,"All Saints' Church","Frederick","Maryland","Osborne Ingle","William R. Whittingham","Gallaudet and Turner","itinerant","once","Frederick, Maryland",39.4142186,-77.4109269
"198",1879,"St. Anne's Church","Annapolis","Maryland","William S. Southgate","William R. Whittingham","Turner; Chamberlain","itinerant","","Annapolis, Maryland",38.9786401,-76.492786
"199",1879,"Maryland Institution for the Deaf and Dumb","Frederick","Maryland","","","Gallaudet, Turner","itinerant","once","Frederick, Maryland",39.4142186,-77.4109269
"200",1880,"Grace Church","Baltimore","Maryland","George Leeds","William R. Whittingham","James S. Wells","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"201",1855,"Park Street Church","Boston","Massachusetts","","","Thomas Gallaudet","itinerant","once","Boston, Massachusetts",42.3602534,-71.0582912
"202",1855,"Trinity Church","Boston","Massachusetts","Manton Eastburn","Manton Eastburn","Thomas Gallaudet","promotional","once","Boston, Massachusetts",42.3602534,-71.0582912
"203",1855,"Trinity Church","Boston","Massachusetts","Manton Eastburn","Manton Eastburn","Thomas Gallaudet","itinerant","once","Boston, Massachusetts",42.3602534,-71.0582912
"204",1856,"St. John's Church","North Adams","Massachusetts","William M. Willian","Manton Eastburn","Thomas Gallaudet","itinerant","once","North Adams, Massachusetts",42.6990321,-73.1118964
"205",1859,"St. Paul's Church","Boston","Massachusetts","William R. Nicholson","Manton Eastburn","Thomas Gallaudet","promotional","once","Boston, Massachusetts",42.3602534,-71.0582912
"206",1859,"St. Paul's Church","Boston","Massachusetts","William R. Nicholson","Manton Eastburn","Thomas Gallaudet","itinerant","once","Boston, Massachusetts",42.3602534,-71.0582912
"207",1860,"Church of the Advent","Boston","Massachusetts","James A. Bolles","Manton Eastburn","Thomas Gallaudet","itinerant","once","Boston, Massachusetts",42.3602534,-71.0582912
"208",1861,"Freeman Place Chapel","Boston","Massachusetts","","Manton Eastburn","Thomas Gallaudet","occasional","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"209",1862,"Freeman Place Chapel","Boston","Massachusetts","","Manton Eastburn","Eastburn Benjamin","regular","weekly","Boston, Massachusetts",42.3602534,-71.0582912
"210",1864,"Grace Church","Boston","Massachusetts","Samuel H. Hilliard","Manton Eastburn","Thomas Gallaudet","regular","monthly","Boston, Massachusetts",42.3602534,-71.0582912
"211",1867,"Trinity Church","Boston","Massachusetts","Manton Eastburn","Manton Eastburn","","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"212",1871,"Church of the Good Shepherd","Boston","Massachusetts","Edward Krans","Manton Eastburn","Thomas Gallaudet","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"213",1872,"Church of the Good Shepherd","Boston","Massachusetts","Edward Krans","Manton Eastburn","Thomas Gallaudet","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"214",1873,"Church of the Good Shepherd","Boston","Massachusetts","Edward Krans","Benjamin H. Paddock","Thomas Gallaudet","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"215",1873,"Christ Church","Norwich","Massachusetts","","","","","","Norwich, Massachusetts",42.2889778,-72.8384294
"216",1873,"Christ Church","Springfield","Massachusetts","Alexander Burgess","Benjamin H. Paddock","","","","Springfield, Massachusetts",42.1018764,-72.5886727
"217",1873,"All Saints' Church","Worcester","Massachusetts","William R. Huntington","Benjamin H. Paddock","","","","Worcester, Massachusetts",42.2761217,-71.8058232
"218",1874,"Church of the Good Shepherd","Boston","Massachusetts","Edward Krans","Benjamin H. Paddock","Thomas Gallaudet","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"219",1874,"St. Michael's Church","Marblehead","Massachusetts","John W. Leek","Benjamin H. Paddock","","occasional","","Marblehead, Massachusetts",42.500096,-70.8578253
"220",1874,"All Saints' Church","Worcester","Massachusetts","William R. Huntington","Benjamin H. Paddock","","occasional","","Worcester, Massachusetts",42.2761217,-71.8058232
"221",1875,"Church of the Good Shepherd","Boston","Massachusetts","George J. Prescott","Benjamin H. Paddock","Thomas Gallaudet","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"222",1876,"Church of the Good Shepherd","Boston","Massachusetts","George J. Prescott","Benjamin H. Paddock","Thomas Gallaudet","regular","quarterly","Boston, Massachusetts",42.3602534,-71.0582912
"223",1876,"St. Michael's Church","Marblehead","Massachusetts","Julius H. Ward","Benjamin H. Paddock","Gallaudet, Chamberlain","Itinerant","intermittent","Marblehead, Massachusetts",42.500096,-70.8578253
"224",1876,"St. Peter's Church","Salem","Massachusetts","Charles Arey","Benjamin H. Paddock","Gallaudet, Chamberlain","Itinerant","intermittent","Salem, Massachusetts",42.5195292,-70.8967226
"225",1877,"Church of the Good Shepherd","Boston","Massachusetts","George J. Prescott","Benjamin H. Paddock","Gallaudet, Chamberlain","itinerant","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"226",1877,"St. Paul's Church","Boston","Massachusetts","William W. Newton","Benjamin H. Paddock","Thomas Gallaudet","itinerant","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"227",1877,"St. Michael's Church","Marblehead","Massachusetts","William R. Harris","Benjamin H. Paddock","Gallaudet","Itinerant","intermittent","Marblehead, Massachusetts",42.500096,-70.8578253
"228",1877,"St. Peter's Church","Salem","Massachusetts","Charles Arey","Benjamin H. Paddock","Gallaudet","Itinerant","intermittent","Salem, Massachusetts",42.5195292,-70.8967226
"229",1877,"St. Peter's Church","Cambridge","Massachusetts","Edward M. Gushee","Benjamin H. Paddock","Gallaudet","Itinerant","quarterly","Cambridge, Massachusetts",42.3750997,-71.1056157
"230",1877,"St. Paul's Church","Nantucket","Massachusetts","Levi Boyer","Benjamin H. Paddock","Gallaudet","promotional","once","Nantucket, Massachusetts",41.3157314,-70.0090141
"231",1877,"All Saints' Church","Worcester","Massachusetts","William R. Huntington","Benjamin H. Paddock","Gallaudet, Mann","promotional","once","Worcester, Massachusetts",42.2761217,-71.8058232
"232",1877,"","Boston","Massachusetts","","Benjamin H. Paddock","Job Turner","Itinerant","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"233",1877,"Church of the Ascension","Fall River","Massachusetts","William T. Fitch","Benjamin H. Paddock","Job Turner","Itinerant","intermittent","Fall River, Massachusetts",41.7010642,-71.1546367
"234",1877,"","Cambridge","Massachusetts","","Benjamin H. Paddock","Job Turner","Itinerant","once","Cambridge, Massachusetts",42.3750997,-71.1056157
"235",1877,"St. Paul's Church","Newburyport","Massachusetts","Edward L. Drown","Benjamin H. Paddock","Thomas Gallaudet ","Itinerant","once","Newburyport, Massachusetts",42.8125913,-70.8772751
"236",1877,"St. John's Church","Cambridge","Massachusetts","George Z. Gray","Benjamin H. Paddock","Gallaudet","promotional","once","Cambridge, Massachusetts",42.3750997,-71.1056157
"237",1877,"","Martha's Vineyard","Massachusetts","","Benjamin H. Paddock","Job Turner","Itinerant","once","Martha's Vineyard, Massachusetts",41.3918832,-70.6208543
"238",1878,"St. Paul's Church","Boston","Massachusetts","William W. Newton","Benjamin H. Paddock","Job Turner","regular","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"239",1878,"St. Peter's Church","Cambridge","Massachusetts","Edward M. Gushee","Benjamin H. Paddock","Gallaudet","Itinerant","quarterly","Cambridge, Massachusetts",42.3750997,-71.1056157
"240",1878,"Church of the Ascension","Fall River","Massachusetts","William T. Fitch","Benjamin H. Paddock","Gallaudet","Itinerant","once","Fall River, Massachusetts",41.7010642,-71.1546367
"241",1878,"St. Peter's Church","Beverly","Massachusetts","John C. Welwood","Benjamin H. Paddock","Gallaudet","itinerant","","Beverly, Massachusetts",42.5584284,-70.8800491
"242",1878,"Grace Church","Lawrence","Massachusetts","William Lawrence","Benjamin H. Paddock","Gallaudet","itinerant","once","Lawrence, Massachusetts",42.7070354,-71.1631137
"243",1878,"St. Anne's Church","Lowell","Massachusetts","Theodore Edson","Benjamin H. Paddock","Gallaudet","itinerant","once","Lowell, Massachusetts",42.6334247,-71.3161718
"244",1878,"","Worcester","Massachusetts","","Benjamin H. Paddock","Job Turner","Itinerant","","Worcester, Massachusetts",42.2761217,-71.8058232
"245",1878,"St. Peter's Church","Salem","Massachusetts","Charles Arey","Benjamin H. Paddock","William Bailey","occasional","intermittent","Salem, Massachusetts",42.5195292,-70.8967226
"246",1879,"Christ Church","Springfield","Massachusetts","John C. Brooks","Benjamin H. Paddock","Turner","itinerant","","Springfield, Massachusetts",42.1018764,-72.5886727
"247",1879,"St. Anne's Church","Lowell","Massachusetts","Theodore Edson","Benjamin H. Paddock","Turner","itinerant","","Lowell, Massachusetts",42.6334247,-71.3161718
"248",1879,"Christ Church","Fitchburg","Massachusetts","Emelius W. Smith","Benjamin H. Paddock","Turner","itinerant","","Fitchburg, Massachusetts",42.5903661,-71.8119837
"249",1879,"All Saints' Church","Worcester","Massachusetts","William R. Huntington","Benjamin H. Paddock","Turner","itinerant","","Worcester, Massachusetts",42.2761217,-71.8058232
"250",1879,"St. Paul's Church","Newburyport","Massachusetts","Edward L. Drown","Benjamin H. Paddock","Turner","itinerant","","Newburyport, Massachusetts",42.8125913,-70.8772751
"251",1879,"St. John's Church","Lawrence","Massachusetts","William G. Wells","Benjamin H. Paddock","Turner","itinerant","","Lawrence, Massachusetts",42.7070354,-71.1631137
"252",1879,"Church of the Good Shepherd","Boston","Massachusetts","George J. Prescott","Benjamin H. Paddock","William Bailey","regular","biweekly","Boston, Massachusetts",42.3602534,-71.0582912
"253",1879,"St. Paul's Church","Boston","Massachusetts","William W. Newton","Benjamin H. Paddock","William Bailey","regular","monthly","Boston, Massachusetts",42.3602534,-71.0582912
"254",1879,"St. Peter's Church","Salem","Massachusetts","Charles Arey","Benjamin H. Paddock","William Bailey","","","Salem, Massachusetts",42.5195292,-70.8967226
"255",1879,"St. Peter's Church","Beverly","Massachusetts","John C. Welwood","Benjamin H. Paddock","William Bailey","","","Beverly, Massachusetts",42.5584284,-70.8800491
"256",1880,"Church of the Good Shepherd","Boston","Massachusetts","George J. Prescott","Benjamin H. Paddock","Bailey, Gallaudet, Chamberlain","occasional","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"257",1880,"St. Matthew's Church","Boston","Massachusetts","John Wright","Benjamin H. Paddock","Chamberlain","occasional","once","Boston, Massachusetts",42.3602534,-71.0582912
"258",1880,"","Salem","Massachusetts","","Benjamin H. Paddock","William Bailey","occasional","intermittent","Salem, Massachusetts",42.5195292,-70.8967226
"259",1880,"St. Peter's Church","Beverly","Massachusetts","John C. Welwood","Benjamin H. Paddock","William Bailey","occasional","intermittent","Beverly, Massachusetts",42.5584284,-70.8800491
"260",1860,"Church of the Advent","Boston","Massachusetts","James A. Bolles","Manton Eastburn","Thomas Gallaudet","occasional","intermittent","Boston, Massachusetts",42.3602534,-71.0582912
"261",1861,"Grace Church","Lawrence","Massachusetts","George Packard","Manton Eastburn","Thomas Gallaudet","occasional","once","Lawrence, Massachusetts",42.7070354,-71.1631137
"262",1860,"St. Anne's Church","Lowell","Massachusetts","Theodore Edson","Manton Eastburn","Thomas Gallaudet","occasional","once","Lowell, Massachusetts",42.6334247,-71.3161718
"263",1873,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","","itinerant","once","Flint, Michigan",43.0161693,-83.6900211
"264",1874,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Austin Mann","regular","intermittent","Flint, Michigan",43.0161693,-83.6900211
"265",1874,"St. Paul's Church","Jackson","Michigan","John T. Magrath","Samuel A. McCoskry","","occasional","","Jackson, Michigan",42.2416466,-84.425589
"266",1875,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Austin Mann","","","Flint, Michigan",43.0161693,-83.6900211
"267",1875,"St. Mark's Church","Grand Rapids","Michigan","Samuel Earp","George D. Gillespie","Austin Mann","itinerant","intermittent","Grand Rapids, Michigan",42.9632405,-85.6678639
"268",1875,"Christ Church","Detroit","Michigan","John W. Brown","Samuel A. McCrosky","Austin Mann","itinerant","intermittent","Detroit, Michigan",42.3315509,-83.0466403
"269",1875,"St. Paul's Church","Jackson","Michigan","John T. Magrath","Samuel A. McCrosky","Austin Mann","itinerant","intermittent","Jackson, Michigan",42.2416466,-84.425589
"270",1876,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Flint, Michigan",43.0161693,-83.6900211
"271",1876,"St. Mark's Church","Grand Rapids","Michigan","George D.E. Mortimer","George D. Gillespie","Austin Mann","itinerant","intermittent","Grand Rapids, Michigan",42.9632405,-85.6678639
"272",1876,"St. John's Church","Detroit","Michigan","George Worthington","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Detroit, Michigan",42.3315509,-83.0466403
"273",1876,"Zion Church","Pontiac","Michigan","Richard Brass","Samuel A. McCoskry","Austin Mann","Itinerant","once","Pontiac, Michigan",42.6389216,-83.2910468
"274",1876,"St. Paul's Church","Jackson","Michigan","John T. Magrath","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Jackson, Michigan",42.2416466,-84.425589
"275",1877,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Austin Mann","Itinerant","intermittent","Flint, Michigan",43.0161693,-83.6900211
"276",1877,"St. John's Church","Detroit","Michigan","Thomas P. Pitkin","Samuel A. McCoskry","Austin Mann","Itinerant","intermittent","Detroit, Michigan",42.3315509,-83.0466403
"277",1877,"St. Paul's Church","Jackson","Michigan","John T. Magrath","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Jackson, Michigan",42.2416466,-84.425589
"278",1878,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Flint, Michigan",43.0161693,-83.6900211
"279",1878,"St. John's Church","Detroit","Michigan","George Worthington","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Detroit, Michigan",42.3315509,-83.0466403
"280",1878,"Trinity Church","Niles","Michigan","Robert McMurdy","George D. Gillespie","Austin Mann","Itinerant","intermittent","Niles, Michigan",41.8297694,-86.2541768
"281",1878,"Emmanuel Church","Hastings","Michigan","Joseph W. Bancroft","George D. Gillespie","Austin Mann","Itinerant","once","Hastings, Michigan",42.6458683,-85.2908404
"282",1878,"Methodist Church","Coopersville","Michigan","","","Austin Mann","Itinerant","once","Coopersville, Michigan",43.0639112,-85.9347667
"283",1878,"St. Andrew's Church","Ann Arbor","Michigan","Wyllys Hall","Samuel A. McCoskry","Gallaudet and Mann","promotional","once","Ann Arbor, Michigan",42.2681569,-83.7312291
"284",1878,"Michigan Institution for Deaf-Mutes","Flint","Michigan","","","Job Turner, Mann","Itinerant","","Flint, Michigan",43.0161693,-83.6900211
"285",1878,"St. Paul's Church","Jackson","Michigan","Vacant","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Jackson, Michigan",42.2416466,-84.425589
"286",1879,"St. John's Church","Detroit","Michigan","George Worthington","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Detroit, Michigan",42.3315509,-83.0466403
"287",1879,"St. Paul's Church","Jackson","Michigan","M.A. Johnson","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Jackson, Michigan",42.2416466,-84.425589
"288",1879,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Flint, Michigan",43.0161693,-83.6900211
"289",1879,"St. Mark's Church","Grand Rapids","Michigan","George D.E. Mortimer","George D. Gillespie","Austin Mann","itinerant","","Grand Rapids, Michigan",42.9632405,-85.6678639
"290",1879,"Trinity Church","Niles","Michigan","Colin C. Tate","George D. Gillespie","Austin Mann","itinerant","","Niles, Michigan",41.8297694,-86.2541768
"291",1879,"Trinity Church","Monroe","Michigan","Benjamin T. Hutchins","Samuel A. McCoskry","Austin Mann","itinerant","intermittent","Monroe, Michigan",41.9153358,-83.5135665
"292",1880,"Trinity Church","Monroe","Michigan","Benjamin T. Hutchins","Samuel A. McCoskry","Mann and Gallaudet","itinerant","intermittent","Monroe, Michigan",41.9153358,-83.5135665
"293",1880,"St. Mark's Church","Grand Rapids","Michigan","Spruille Burford","George D. Gillespie","Austin Mann","itinerant","once","Grand Rapids, Michigan",42.9632405,-85.6678639
"294",1880,"St. Paul's Church","East Saginaw","Michigan","Charles DeLancey","Samuel A. McCoskry","Mann and Gallaudet","itinerant","intermittent","East Saginaw, Michigan",43.5359614,-84.0891064
"295",1880,"","Flushing","Michigan","","","Austin Mann","itinerant","","Flushing, Michigan",43.0630834,-83.8510732
"296",1880,"St. John's Church","Detroit","Michigan","George Worthington","Samuel A. McCoskry","Gallaudet and Mann","itinerant","","Detroit, Michigan",42.3315509,-83.0466403
"297",1880,"St. Paul's Church","Flint","Michigan","Marcus Lane","Samuel A. McCoskry","Gallaudet and Mann","itinerant","","Flint, Michigan",43.0161693,-83.6900211
"298",1880,"Michigan Institution for the Deaf and Dumb","Flint","Michigan","","","Gallaudet and Mann","itinerant","","Flint, Michigan",43.0161693,-83.6900211
"299",1880,"Zion Church","Pontiac","Michigan","Theophilus J. Brookes","Samuel A. McCoskry","Gallaudet and Mann","itinerant","once","Pontiac, Michigan",42.6389216,-83.2910468
"300",1880,"St. Paul's Church","Jackson","Michigan","M.A. Johnson","Samuel A. McCoskry","Gallaudet and Mann","itinerant","","Jackson, Michigan",42.2416466,-84.425589
"301",1880,"St. Luke's Church","Kalamazoo","Michigan","James F. Conover","George D. Gillespie","Gallaudet and Mann","itinerant","once","Kalamazoo, Michigan",42.291707,-85.5872286
"302",1877,"Gethsemane Church","Minneapolis","Minnesota","David B. Knickerbacker","Henry B. Whipple","Austin Mann","Itinerant","once","Minneapolis, Minnesota",44.9772995,-93.2654692
"303",1880,"Cathedral of our Merciful Saviour","Fairbault","Minnesota","Henry B. Whipple","Henry B. Whipple","Gallaudet and Mann","itinerant","once","Fairbault, Minnesota",44.98938,-93.376625
"304",1880,"Minnesota Institution for the Deaf and Dumb","Fairbault","Minnesota","","","Gallaudet and Mann","itinerant","once","Fairbault, Minnesota",44.98938,-93.376625
"305",1880,"St. Paul's Church","St. Paul","Minnesota","K.S. Thomas","Henry B. Whipple","Gallaudet and Mann","itinerant","once","St. Paul, Minnesota",44.9504037,-93.1015026
"306",1880,"Gethsemane Church","Minneapolis","Minnesota","David B. Knickerbacker","Henry B. Whipple","Gallaudet and Mann","itinerant","once","Minneapolis, Minnesota",44.9772995,-93.2654692
"307",1880,"Christ Church","Red Wing","Minnesota","George W. Watson","Henry B. Whipple","Gallaudet and Mann","itinerant","once","Red Wing, Minnesota",44.5624676,-92.5338013
"308",1878,"Mississippi Institution for Deaf-Mutes","Jackson","Mississippi","","","Job Turner","Itinerant","","Jackson, Mississippi",32.2990384,-90.1847691
"309",1879,"St. Andrew's Church","Jackson","Mississippi","Joseph L. Tucker","William M. Green","Gallaudet, Turner","itinerant","","Jackson, Mississippi",32.2990384,-90.1847691
"310",1877,"Christ Church","St. Louis","Missouri","Montgomery Schuyler","Charles F. Robertson","Austin Mann","itinerant","intermittent","St. Louis, Missouri",38.6264178,-90.1998378
"311",1878,"Christ Church","St. Louis","Missouri","Montgomery Schuyler","Charles F. Robertson","Austin Mann","Itinerant","intermittent","St. Louis, Missouri",38.6264178,-90.1998378
"312",1879,"Christ Church","St. Louis","Missouri","M. Schuyler","Charles F. Robertson","Delos A. Simpson","regular","biweekly","St. Louis, Missouri",38.6264178,-90.1998378
"313",1879,"St. George's Church","St. Louis","Missouri","R.A. Holland","Charles F. Robertson","Mann and Gallaudet","promotional","","St. Louis, Missouri",38.6264178,-90.1998378
"314",1879,"Christ Church","St. Joseph","Missouri","James Runcie","Charles F. Robertson","Mann and Gallaudet","promotional","once","St. Joseph, Missouri",39.7686055,-94.8466322
"315",1879,"Christ Church","St. Louis","Missouri","M. Schuyler","Charles F. Robertson","Mann and Gallaudet","itinerant","","St. Louis, Missouri",38.6264178,-90.1998378
"316",1879,"St. George's Church","St. Louis","Missouri","R. A. Holland","Charles F. Robertson","Mann and Gallaudet","promotional","","St. Louis, Missouri",38.6264178,-90.1998378
"317",1879,"St. Luke's Hospital","St. Louis","Missouri","","","Mann and Gallaudet","promotional","","St. Louis, Missouri",38.6264178,-90.1998378
"318",1879,"Grace Church","Kansas City","Missouri","Herman Cope Duncan","Charles F. Robertson","Mann and Gallaudet","promotional","once","Kansas City, Missouri",39.100105,-94.5781416
"319",1879,"Missouri Institution for Deaf-mutes","Fulton","Missouri","","","Austin Mann","itinerant","intermittent","Fulton, Missouri",38.8467082,-91.9479586
"320",1880,"Christ Church","St. Louis","Missouri","Montgomery Schuyler","Charles F. Robertson","Austin Mann","itinerant","intermittent","St. Louis, Missouri",38.6264178,-90.1998378
"321",1880,"Christ Church","St. Louis","Missouri","Montgomery Schuyler","Charles F. Robertson","Delos A Simpson","","","St. Louis, Missouri",38.6264178,-90.1998378
"322",1879,"Nebraska Institution for the Deaf and Dumb","Omaha","Nebraska","","","Mann and Gallaudet","promotional","once","Omaha, Nebraska",41.2587459,-95.9383758
"323",1879,"Trinity Cathedral","Omaha","Nebraska","Robert H. Clarkson","Robert H. Clarkson","Mann and Gallaudet","promotional","once","Omaha, Nebraska",41.2587459,-95.9383758
"324",1877,"St. Paul's Church","Concord","New Hampshire","James H. Eames","William W. Niles","Job Turner","Itinerant","intermittent","Concord, New Hampshire",43.207178,-71.537476
"325",1877,"Church of the Good Shepherd","Nashua","New Hampshire","Jacob Leroy","William W. Niles","Job Turner","Itinerant","once","Nashua, New Hampshire",42.7656251,-71.4677032
"326",1877,"","West Henniker","New Hampshire","","","Job Turner","Itinerant","once","West Henniker, New Hampshire",43.179645,-71.822433
"327",1878,"Congregationalist Church","Amherst","New Hampshire","Rev. Dr. Davis","William W. Niles","Chamberlain","promotional","once","Amherst, New Hampshire",42.8642874,-71.6252484
"328",1878,"Congregational Church","Henniker","New Hampshire","Rev. Mr. Hoffman","","Gallaudet","Itinerant","once","Henniker, New Hampshire",43.179645,-71.822433
"329",1878,"St. Paul's Church","Concord","New Hampshire","William W. Niles","William W. Niles","Job Turner","Itinerant","","Concord, New Hampshire",43.207178,-71.537476
"330",1878,"","Henniker","New Hampshire","","","Job Turner","Itinerant","","Henniker, New Hampshire",43.179645,-71.822433
"331",1879,"Grace Church","Manchester","New Hampshire","Lorenzo Sears","William W. Niles","Job Turner","itinerant","","Manchester, New Hampshire",42.9956397,-71.4547891
"332",1879,"St. Paul's Church","Concord","New Hampshire","William W. Niles","William W. Niles","Job Turner","itinerant","","Concord, New Hampshire",43.207178,-71.537476
"333",1879,"Congregational Church","Henniker","New Hampshire","","","Job Turner","itinerant","","Henniker, New Hampshire",43.179645,-71.822433
"334",1879,"Union Church","Hooksett","New Hampshire","","","Turner and Gallaudet","itinerant","once","Hooksett, New Hampshire",43.096972,-71.465378
"335",1879,"Church of the Good Shepherd","Nashua","New Hampshire","Jacob LeRoy","William W. Niles","Turner, Gallaudet","itinerant","","Nashua, New Hampshire",42.7656251,-71.4677032
"336",1880,"Grace Church","Manchester","New Hampshire","Lorenzo Sears","William W. Niles","Chamberlain","itinerant","once","Manchester, New Hampshire",42.9956397,-71.4547891
"337",1857,"Christ Church","New Brunswick","New Jersey","Alfred Stubbs","George W. Doane","Thomas Gallaudet","itinerant","once","New Brunswick, New Jersey",40.4862174,-74.4518173
"338",1873,"St. Paul's Church","Paterson","New Jersey","John M. Heffernan","William H. Odenheimer","","","","Paterson, New Jersey",40.9167654,-74.171811
"339",1875,"Trinity Church","Newark","New Jersey","William W. Newton","William H. Odenheimer","","itinerant","","Newark, New Jersey",40.735657,-74.1723667
"340",1875,"St. Stephen's Church","Newark","New Jersey","Edward B. Boggs","William H. Odenheimer","","itinerant","","Newark, New Jersey",40.735657,-74.1723667
"341",1875,"Christ Church","Newark","New Jersey","J. Nicholas Stansbury","William H. Odenheimer","","itinerant","","Newark, New Jersey",40.735657,-74.1723667
