"year","facility","city","state","cmdmWorker","serviceRegularity","serviceFrequency","geometry.lat","geometry.lng"
1877,"St. Paul's Church","Flint","Michigan","Austin Mann","Itinerant","intermittent",43.0171773,-83.7236024
1877,"St. John's Church","Detroit","Michigan","Austin Mann","Itinerant","intermittent",42.3315509,-83.0466403
1877,"St. Paul's Church","Jackson","Michigan","Austin Mann","itinerant","intermittent",42.244167,-84.407222
1878,"St. Paul's Church","Flint","Michigan","Austin Mann","itinerant","intermittent",43.0171773,-83.7236024
1878,"St. John's Church","Detroit","Michigan","Austin Mann","itinerant","intermittent",42.3315509,-83.0466403
1878,"Trinity Church","Niles","Michigan","Austin Mann","Itinerant","intermittent",41.8297694,-86.2541768
1878,"Emmanuel Church","Hastings","Michigan","Austin Mann","Itinerant","once",42.6458683,-85.2908404
1878,"Methodist Church","Coopersville","Michigan","Austin Mann","Itinerant","once",43.0639112,-85.9347667
1878,"St. Andrew's Church","Ann Arbor","Michigan","Gallaudet and Mann","promotional","once",42.2681569,-83.7312291
1878,"Michigan Institution for Deaf-Mutes","Flint","Michigan","Job Turner, Mann","Itinerant","",43.0171773,-83.7236024
1878,"St. Paul's Church","Jackson","Michigan","Austin Mann","itinerant","intermittent",42.244167,-84.407222
1879,"St. John's Church","Detroit","Michigan","Austin Mann","itinerant","intermittent",42.3315509,-83.0466403
1879,"St. Paul's Church","Jackson","Michigan","Austin Mann","itinerant","intermittent",42.244167,-84.407222
1879,"St. Paul's Church","Flint","Michigan","Austin Mann","itinerant","intermittent",43.0171773,-83.7236024
1879,"St. Mark's Church","Grand Rapids","Michigan","Austin Mann","itinerant","",42.9632405,-85.6678639
1879,"Trinity Church","Niles","Michigan","Austin Mann","itinerant","",41.8297694,-86.2541768
1879,"Trinity Church","Monroe","Michigan","Austin Mann","itinerant","intermittent",41.916389,-83.397778
1880,"Trinity Church","Monroe","Michigan","Mann and Gallaudet","itinerant","intermittent",41.916389,-83.397778
1880,"St. Mark's Church","Grand Rapids","Michigan","Austin Mann","itinerant","once",42.9632405,-85.6678639
1880,"St. Paul's Church","East Saginaw","Michigan","Mann and Gallaudet","itinerant","intermittent",43.4200387,-83.9490365
1880,"","Flushing","Michigan","Austin Mann","itinerant","",43.0630834,-83.8510732
1880,"St. John's Church","Detroit","Michigan","Gallaudet and Mann","itinerant","",42.3315509,-83.0466403
1880,"St. Paul's Church","Flint","Michigan","Gallaudet and Mann","itinerant","",43.0171773,-83.7236024
1880,"Michigan Institution for the Deaf and Dumb","Flint","Michigan","Gallaudet and Mann","itinerant","",43.0171773,-83.7236024
1880,"Zion Church","Pontiac","Michigan","Gallaudet and Mann","itinerant","once",42.6389216,-83.2910468
1880,"St. Paul's Church","Jackson","Michigan","Gallaudet and Mann","itinerant","",42.244167,-84.407222
1880,"St. Luke's Church","Kalamazoo","Michigan","Gallaudet and Mann","itinerant","once",42.291707,-85.5872286
1877,"Gethsemane Church","Minneapolis","Minnesota","Austin Mann","Itinerant","once",44.9772995,-93.2654692
1880,"Cathedral of our Merciful Saviour","Fairbault","Minnesota","Gallaudet and Mann","itinerant","once",44.290589,-93.268319
1880,"Minnesota Institution for the Deaf and Dumb","Fairbault","Minnesota","Gallaudet and Mann","itinerant","once",44.290589,-93.268319
1880,"St. Paul's Church","St. Paul","Minnesota","Gallaudet and Mann","itinerant","once",44.9504037,-93.1015026
1880,"Gethsemane Church","Minneapolis","Minnesota","Gallaudet and Mann","itinerant","once",44.9772995,-93.2654692
1880,"Christ Church","Red Wing","Minnesota","Gallaudet and Mann","itinerant","once",44.5624676,-92.5338013
1878,"Mississippi Institution for Deaf-Mutes","Jackson","Mississippi","Job Turner","Itinerant","",32.2990384,-90.1847691
1879,"St. Andrew's Church","Jackson","Mississippi","Gallaudet, Turner","itinerant","",32.2990384,-90.1847691
1877,"Christ Church","St. Louis","Missouri","Austin Mann","itinerant","intermittent",38.6268039,-90.1994097
1878,"Christ Church","St. Louis","Missouri","Austin Mann","Itinerant","intermittent",38.6268039,-90.1994097
1879,"Christ Church","St. Louis","Missouri","Delos A. Simpson","regular","biweekly",38.6268039,-90.1994097
1879,"St. George's Church","St. Louis","Missouri","Mann and Gallaudet","promotional","",38.6268039,-90.1994097
1879,"Christ Church","St. Joseph","Missouri","Mann and Gallaudet","promotional","once",39.7686055,-94.8466322
1879,"Christ Church","St. Louis","Missouri","Mann and Gallaudet","itinerant","",38.6268039,-90.1994097
1879,"St. George's Church","St. Louis","Missouri","Mann and Gallaudet","promotional","",38.6268039,-90.1994097
1879,"St. Luke's Hospital","St. Louis","Missouri","Mann and Gallaudet","promotional","",38.6268039,-90.1994097
1879,"Grace Church","Kansas City","Missouri","Mann and Gallaudet","promotional","once",39.100105,-94.5781416
1879,"Missouri Institution for Deaf-mutes","Fulton","Missouri","Austin Mann","itinerant","intermittent",38.8467082,-91.9479586
1880,"Christ Church","St. Louis","Missouri","Austin Mann","itinerant","intermittent",38.6268039,-90.1994097
1880,"Christ Church","St. Louis","Missouri","Delos A Simpson","","",38.6268039,-90.1994097
1879,"Nebraska Institution for the Deaf and Dumb","Omaha","Nebraska","Mann and Gallaudet","promotional","once",41.2587459,-95.9383758
1879,"Trinity Cathedral","Omaha","Nebraska","Mann and Gallaudet","promotional","once",41.2587459,-95.9383758
1877,"St. Paul's Church","Concord","New Hampshire","Job Turner","Itinerant","intermittent",43.207178,-71.537476
1877,"Church of the Good Shepherd","Nashua","New Hampshire","Job Turner","Itinerant","once",42.7653662,-71.467566
1877,"","West Henniker","New Hampshire","Job Turner","Itinerant","once",43.179645,-71.822433
1878,"Congregationalist Church","Amherst","New Hampshire","Chamberlain","promotional","once",42.8642874,-71.6252484
1878,"Congregational Church","Henniker","New Hampshire","Gallaudet","Itinerant","once",43.179645,-71.822433
1878,"St. Paul's Church","Concord","New Hampshire","Job Turner","Itinerant","",43.207178,-71.537476
1878,"","Henniker","New Hampshire","Job Turner","Itinerant","",43.179645,-71.822433
1879,"Grace Church","Manchester","New Hampshire","Job Turner","itinerant","",42.9956397,-71.4547891
1879,"St. Paul's Church","Concord","New Hampshire","Job Turner","itinerant","",43.207178,-71.537476
1879,"Congregational Church","Henniker","New Hampshire","Job Turner","itinerant","",43.179645,-71.822433
1879,"Union Church","Hooksett","New Hampshire","Turner and Gallaudet","itinerant","once",43.096972,-71.465378
1879,"Church of the Good Shepherd","Nashua","New Hampshire","Turner, Gallaudet","itinerant","",42.7653662,-71.467566
1880,"Grace Church","Manchester","New Hampshire","Chamberlain","itinerant","once",42.9956397,-71.4547891
1857,"Christ Church","New Brunswick","New Jersey","Thomas Gallaudet","itinerant","once",40.4862174,-74.4518173
1873,"St. Paul's Church","Paterson","New Jersey","","","",40.9167654,-74.171811
1875,"Trinity Church","Newark","New Jersey","","itinerant","",40.735657,-74.1723667
1875,"St. Stephen's Church","Newark","New Jersey","","itinerant","",40.735657,-74.1723667
1875,"Christ Church","Newark","New Jersey","","itinerant","",40.735657,-74.1723667
1875,"Christ Church","Newton","New Jersey","","itinerant","",41.0582103,-74.7530943
1876,"Grace Church","Elizabeth","New Jersey","Gallaudet, Chamberlain","Itinerant","intermittent",40.6639916,-74.2107006
1876,"Trinity Church","Newark","New Jersey","Gallaudet, Chamberlain","Itinerant","intermittent",40.735657,-74.1723667
1877,"Trinity Church","Elizabeth","New Jersey","Gallaudet","promotional","once",40.6639916,-74.2107006
1877,"Trinity Church","Newark","New Jersey","Gallaudet","Itinerant","once",40.735657,-74.1723667
1877,"Grace Church","Jersey City","New Jersey","James Lewis","Itinerant","once",40.7281575,-74.0776417
1877,"St. John's Church","Elizabeth","New Jersey","Gallaudet","promotional","once",40.6639916,-74.2107006
1878,"St. John's Church","Newark","New Jersey","George C. Pennell","occasional","bimonthly",40.735657,-74.1723667
1878,"Trinity Mission Chapel","Newark","New Jersey","Pennell, Gallaudet","itinerant","once",40.735657,-74.1723667
1879,"St. John's Church","Newark","New Jersey","Pennell","regular","biweekly",40.735657,-74.1723667
1879,"Trinity Mission Chapel","Newark","New Jersey","Pennell, Gallaudet","regular","biweekly",40.735657,-74.1723667
1880,"Trinity Mission Chapel","Newark","New Jersey","George C. Pennell","occasional","intermittent",40.735657,-74.1723667
1880,"","","New Jersey","Syle","","",40.0757384,-74.4041622
1860,"St. Stephen's Church","Milburn","New Jersey","Thomas Gallaudet","occasional","once",40.686458,-74.633886
1850,"St. Stephen's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1850,"School Room, 59 Bond St.","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1851,"School Room, 59 Bond St.","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1852,"New York University Chapel","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1853,"New York University Chapel","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1854,"New York University Chapel","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1855,"New York University Chapel","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1856,"","Mabbettsville","New York","Thomas Gallaudet","itinerant","once",41.7925937,-73.6595723
1856,"St. Thomas' Church","Mamaroneck","New York","Thomas Gallaudet","itinerant","once",40.9487097,-73.7326309
1856,"New York University Chapel","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1856,"","Watervliet","New York","Thomas Gallaudet","itinerant","once",42.7300784,-73.7012299
1857,"Presbyterian Church","Mexico","New York","Thomas Gallaudet","itinerant","once",43.459514,-76.228818
1857,"private residence","New York City","New York","Thomas Gallaudet","occasional","once",40.71274,-74.005974
1857,"New York University Chapel","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1857,"New York Historical Society","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1858,"New York Historical Society","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1858,"St. Peter's Church","Albany","New York","Thomas Gallaudet","promotional","once",42.6511674,-73.754968
1858,"St. Peter's Church","Albany","New York","Thomas Gallaudet","itinerant","once",42.6511674,-73.754968
1858,"St. John's Church","Buffalo","New York","Thomas Gallaudet","promotional","once",42.8867166,-78.8783922
1858,"St. John's Church","Buffalo","New York","Thomas Gallaudet","itinerant","once",42.8867166,-78.8783922
1859,"New York Historical Society","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1859,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1859,"St. Paul's Church","Albany","New York","Thomas Gallaudet","","",42.6511674,-73.754968
1860,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1861,"St. Paul's Church","Albany","New York","Thomas Gallaudet","regular","intermmittent",42.6511674,-73.754968
1861,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1862,"St. Paul's Church","Albany","New York","Thomas Gallaudet","regular","intermmittent",42.6511674,-73.754968
1863,"St. Paul's Church","Albany","New York","Thomas Gallaudet","regular","intermmittent",42.6511674,-73.754968
1862,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1863,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1864,"St. Paul's Church","Albany","New York","Thomas Gallaudet","regular","monthly",42.6511674,-73.754968
1864,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1865,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1865,"St. Paul's Church","Syracuse","New York","Gallaudet, Pennell","itinerant","once",43.0481221,-76.1474244
1865,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1865,"Grace Church","Buffalo","New York","George C. Pennell","regular","monthly",42.8867166,-78.8783922
1865,"Grace Church","Rochester","New York","George C. Pennell","itinerant","once",43.157285,-77.615214
1865,"Zion Church","Palmyra","New York","George C. Pennell","itinerant","once",43.0623754,-77.2347245
1866,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1866,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1866,"Grace Church","Buffalo","New York","George C. Pennell","regular","monthly",42.8867166,-78.8783922
1867,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1867,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1867,"Grace Church","Buffalo","New York","George C. Pennell","regular","monthly",42.8867166,-78.8783922
1868,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1868,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1868,"Grace Church","Buffalo","New York","George C. Pennell","regular","monthly",42.8867166,-78.8783922
1869,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1869,"St. John's Church","Ithaca","New York","Thomas Gallaudet","itinerant","once",42.4396039,-76.4968019
1869,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1870,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1870,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1871,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1871,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1872,"St. Paul's Church","Albany","New York","Gallaudet, Benjamin","regular","monthly",42.6511674,-73.754968
1872,"St. Ann's Church","New York City","New York","Thomas Gallaudet","regular","weekly",40.71274,-74.005974
1872,"St. Paul's Chapel","Troy","New York","","","",42.7284117,-73.6917878
1873,"Grace Church","Mexico","New York","","","",43.459514,-76.228818
1873,"Trinity Church","Watertown","New York","","","",43.9747838,-75.9107565
1873,"Grace Church","Watertown","New York","","","",43.9747838,-75.9107565
1873,"Grace Church","Syracuse","New York","","","",43.0481221,-76.1474244
1873,"Trinity Church","Syracuse","New York","","","",43.0481221,-76.1474244
1873,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain","regular","weekly",40.71274,-74.005974
1873,"St. Paul's Church","Albany","New York","Thomas B. Berry","regular","monthly",42.6511674,-73.754968
1873,"St. Paul's Chapel","Troy","New York","","","",42.7284117,-73.6917878
1873,"St. Mark's Church","Tarrytown","New York","","","",41.0762077,-73.8587461
1873,"St. Peter's Church","Portchester","New York","","","",41.005,-73.668889
1873,"Zion Church","Rome","New York","","","",43.2128473,-75.4557304
1873,"Trinity Church","Geneva","New York","","","",42.8690271,-76.9786122
1873,"St. Luke's Church","Rochester","New York","","","",43.157285,-77.615214
1873,"Christ Church","Rochester","New York","","","",43.157285,-77.615214
1873,"Christ Church","Buffalo","New York","","","",42.8867166,-78.8783922
1873,"St. Mary's Church","New York City","New York","","","",40.71274,-74.005974
1873,"Church of the Messiah","New York City","New York","","","",40.71274,-74.005974
1874,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain","regular","weekly",40.71274,-74.005974
1874,"St. Paul's Church","Albany","New York","Thomas B. Berry","regular","monthly",42.6511674,-73.754968
1874,"St. Mary's Church","New York City","New York","","occasional","",40.71274,-74.005974
1874,"Christ Church","Rochester","New York","John C. Acker, Gallaudet, Berry","regular","",43.157285,-77.615214
1874,"St. Paul's Chapel","Troy","New York","Thomas Berry","regular","monthly",42.7284117,-73.6917878
1874,"Grace Church","Mexico","New York","","occasional","",43.459514,-76.228818
1874,"St. James' Church","Syracuse","New York","","occasional","",43.0481221,-76.1474244
1874,"Grace Church","Cherry Valley","New York","","occasional","",42.7956295,-74.7532018
1874,"Good Shepherd","Canajoharie","New York","","occasional","",42.9056288,-74.5718073
1874,"Trinity Church","Potsdam","New York","","occasional","",44.6697996,-74.9813349
1874,"Christ Church","Buffalo","New York","","occasional","",42.8867166,-78.8783922
1874,"St. Mark's Church","Tarrytown","New York","","occasional","",41.0762077,-73.8587461
1875,"Trinity Church","Watertown","New York","Gallaudet and Berry","promotional","once",43.9747838,-75.9107565
1875,"St. Paul's Church","Albany","New York","Gallaudet ","regular","quarterly",42.6511674,-73.754968
1875,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain","regular","weekly",40.71274,-74.005974
1875,"St. Mary's Church","New York City","New York","Gallaudet, Chamberlain, Wells, Lewis","regular","monthly",40.71274,-74.005974
1875,"private residences","New York City","New York","James Lewis","occasional","intermittent",40.71274,-74.005974
1875,"St. Mary's Church","New York City","New York","","itinerant","",40.71274,-74.005974
1875,"St. Luke's Church","Rochester","New York","John C. Acker","regular","weekly",43.157285,-77.615214
1875,"Trinity Church","Potsdam","New York","Thomas B. Berry","itinerant","once",44.6697996,-74.9813349
1875,"St. Paul's Chapel","Troy","New York","Thomas Berry","regular","monthly",42.7284117,-73.6917878
1875,"Grace Church","Mexico","New York","","itinerant","",43.459514,-76.228818
1875,"St. Mark's Church","Tarrytown","New York","","itinerant","",41.0762077,-73.8587461
1875,"St. Mark's Church","New York City","New York","","itinerant","",40.71274,-74.005974
1875,"St. Andrew's Church","New York City","New York","","itinerant","",40.71274,-74.005974
1876,"St. Paul's Church","Albany","New York","Gallaudet","regular","quarterly",42.6511674,-73.754968
1876,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain","regular","weekly",40.71274,-74.005974
1876,"St. Mary's Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"St. Mary's Church","New York City","New York","Gallaudet, Chamberlain or Lewis","regular","monthly",40.71274,-74.005974
1876,"private residences","New York City","New York","James Lewis","occasional","intermittent",40.71274,-74.005974
1876,"Zion Church","Rome","New York","Gallaudet, Chamberlain","Itinerant","intermittent",43.2128473,-75.4557304
1876,"St. James Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"Grace Church","Mexico","New York","Gallaudet, Chamberlain","Itinerant","intermittent",43.459514,-76.228818
1876,"Trinity Church","Lansingburgh","New York","Gallaudet, Chamberlain","Itinerant","intermittent",42.7845222,-73.6695624
1876,"St. James Church","Syracuse","New York","Gallaudet, Chamberlain","Itinerant","intermittent",43.0481221,-76.1474244
1876,"St. Luke's Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"Grace Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"St. Paul's Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"Grace Church","Utica","New York","Gallaudet, Chamberlain","Itinerant","intermittent",43.1009031,-75.2326641
1876,"St. Mark's Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"St. James' Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"Church of the Intercession","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1876,"St. Peter's Church","Port Chester","New York","Gallaudet, Chamberlain","Itinerant","intermittent",41.0017643,-73.6656834
1876,"Trinity Church","Granville","New York","Gallaudet, Chamberlain","Itinerant","intermittent",43.408041,-73.259583
1876,"Grace Church","Cherry Valley","New York","Gallaudet, Chamberlain","Itinerant","intermittent",42.7956295,-74.7532018
1876,"St. Paul's Church","Kinderhook","New York","Gallaudet, Chamberlain","Itinerant","intermittent",42.3953617,-73.6978983
1876,"Trinity Church","Potsdam","New York","George C. Pennell","itinerant","intermittent",44.6697996,-74.9813349
1876,"St. Luke's Church","Rochester","New York","John C. Acker","regular","weekly",43.157285,-77.615214
1876,"St. Paul's Church","Troy","New York","Thomas Berry","regular","monthly",42.7284117,-73.6917878
1877,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain","regular","weekly",40.71274,-74.005974
1877,"St. Paul's Church","Albany","New York","Gallaudet","regular","quarterly",42.6511674,-73.754968
1877,"St. Luke's Church","Rochester","New York","Gallaudet","itinerant","once",43.157285,-77.615214
1877,"Church of the Intercession","New York City","New York","Gallaudet","occasional","intermittent",40.71274,-74.005974
1877,"St. Luke's Church","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1877,"Church of the Redeemer","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1877,"Zion Church","Rome","New York","Gallaudet and Mann","Itinerant","once",43.2128473,-75.4557304
1877,"Trinity Church","Granville","New York","Gallaudet, Berry","occasional","intermittent",43.408041,-73.259583
1877,"St. Mary's Church","New York City","New York","Gallaudet, Chamberlain","Itinerant","intermittent",40.71274,-74.005974
1877,"St. Mary's Church","New York City","New York","Gallaudet, Chamberlain, Lewis","regular","monthly",40.71274,-74.005974
1877,"Grace Church","Elmira","New York","Gallaudet, Mann, Turner","Itinerant","once ",42.0897965,-76.8077338
1877,"Trinity Church","Potsdam","New York","George C. Pennell","occasional","intermittent",44.6697996,-74.9813349
1877,"private residences","New York City","New York","James Lewis","occasional","intermittent",40.71274,-74.005974
1877,"","New York City","New York","Job Turner","Itinerant","intermittent",40.71274,-74.005974
1877,"St Paul's Church","Owego","New York","Job Turner","Itinerant","once",42.1034075,-76.2621549
1877,"St. Luke's Church","Rochester","New York","John C. Acker","regular","weekly",43.157285,-77.615214
1877,"St. James' Church","Pulaski","New York","Mann and Gallaudet","promotional","once",43.567014,-76.127703
1877,"St. Paul's Church","Troy","New York","Thomas Berry","regular","monthly",42.7284117,-73.6917878
1878,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain, Lewis","regular","weekly",40.71274,-74.005974
1878,"St. Paul's Church","Albany","New York","Gallaudet","regular","quarterly",42.6511674,-73.754968
1878,"St. Paul's Church","Troy","New York","Gallaudet","","",42.7284117,-73.6917878
1878,"Trinity Church","Geneva","New York","Gallaudet","itinerant","intermittent",42.8690271,-76.9786122
1878,"St. Ann's Church","New York City","New York","Gallaudet","regular","monthly",40.71274,-74.005974
1878,"Christ Church","New York City","New York","Gallaudet","occasional","monthly",40.71274,-74.005974
1878,"Zion Church","Rome","New York","Gallaudet","Itinerant","intermittent",43.2128473,-75.4557304
1878,"St. Luke's Church","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1878,"St John's Church","Cohoes","New York","Gallaudet","Itinerant","once",42.7742446,-73.7001187
1878,"Christ Church","Ballston Spa","New York","Gallaudet","Itinerant","once",43.0009087,-73.8490111
1878,"Church of the Intercession","New York City","New York","Gallaudet","Itinerant","once",40.71274,-74.005974
1878,"Bethesda Church","Saratoga Springs","New York","Gallaudet","Itinerant","once",43.0821793,-73.7853915
1878,"Church of the Holy Spirit","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1878,"St. Peter's Church","Auburn","New York","Gallaudet","Itinerant","once",42.9320202,-76.5672029
1878,"All Saints Church","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1878,"St. Paul's Church","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1878,"Church of the Holy Trinity","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1878,"St. Luke's Church","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1878,"St. Andrew's Church","New York City","New York","Gallaudet, Chamberlain, Lewis","regular","monthly",40.71274,-74.005974
1878,"St. Mary's Church","New York City","New York","Gallaudet, Chamberlain, Lewis","regular","monthly",40.71274,-74.005974
1878,"Christ Church","New York City","New York","Gallaudet, Chamberlain, Lewis","regular","monthly",40.71274,-74.005974
1878,"private residences","New York City","New York","James Lewis","occasional","intermittent",40.71274,-74.005974
1878,"","Rome","New York","Job Turner","Itinerant","",43.2128473,-75.4557304
1878,"","New York City","New York","Job Turner","Itinerant","",40.71274,-74.005974
1878,"New York Institution for Deaf Mutes","New York City","New York","Job Turner","Itinerant","",40.71274,-74.005974
1878,"St. Luke's Church","Rochester","New York","John C. Acker","regular","weekly",43.157285,-77.615214
1878,"Church of the Messiah","Glens Falls","New York","Thomas Gallaudet","Itinerant","once",43.309941,-73.644447
1878,"Grace Church","Mexico","New York","Turner, Gallaudet","Itinerant","intermittent",43.459514,-76.228818
1878,"St. John's Church","Buffalo","New York","Mann and Gallaudet","itinerant","intermittent",42.8867166,-78.8783922
1879,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain, Lewis, Wells","regular","weekly",40.71274,-74.005974
1878,"John's Church","Buffalo","New York","Austin Mann","itinerant","",42.8867166,-78.8783922
1879,"John's Church","Buffalo","New York","Turner","itinerant","",42.8867166,-78.8783922
1879,"Church of the Redeemer","Astoria","New York","Chamberlain","promotional","once",40.767,-73.921
1879,"Church of the Holy Comforter","Poughkeepsie","New York","Chamberlain","promotional","once",41.7065779,-73.9284101
1879,"Christ Church","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1879,"Church of the Ascension","New York City","New York","Gallaudet","itinerant","once",40.71274,-74.005974
1879,"Trinity Church","Mount Vernon","New York","Gallaudet","promotional","once",40.914167,-73.830556
1879,"Zion Church","Dobbs Ferry","New York","Gallaudet","promotional","once",41.0145418,-73.872635
1879,"Church of the Intercession","New York City","New York","Gallaudet","itinerant","once",40.71274,-74.005974
1879,"Trinity Church","Asbury Park","New Jersey","Gallaudet","promotional","",40.2203907,-74.0120817
1879,"Bethesda Church","Saratoga Springs","New York","Gallaudet and Mann","Itinerant","once",43.0821793,-73.7853915
1879,"St. Luke's Church","Rochester","New York","John C. Acker","regular","weekly",43.157285,-77.615214
1879,"St. Ann's Church","New York City","New York","Lewis","regular","monthly",40.71274,-74.005974
1879,"St. Paul's Church","Albany","New York","Lewis","regular","quarterly",42.6511674,-73.754968
1879,"St. Andrew's Church","New York City","New York","Lewis, Chamberlain","regular","monthly",40.71274,-74.005974
1879,"Trinity Church","Buffalo","New York","Mann and Gallaudet","itinerant","once",42.8867166,-78.8783922
1879,"Trinity Church","Geneva","New York","Turner","itinerant","",42.8690271,-76.9786122
1879,"St. James' Church","Syracuse","New York","Turner","itinerant","",43.0481221,-76.1474244
1879,"Grace Church","Mexico","New York","Turner","itinerant","",43.459514,-76.228818
1879,"Grace Church","Watertown","New York","Turner","itinerant","",43.9747838,-75.9107565
1879,"Trinity Church","Potsdam","New York","Turner","itinerant","",44.6697996,-74.9813349
1879,"Grace Church","New York City","New York","","promotional","once",40.71274,-74.005974
1879,"Christ Church","New York City","New York","Lewis, Chamberlain","regular","monthly",40.71274,-74.005974
1879,"St. Paul's Church","Troy","New York","","regular","weekly",42.7284117,-73.6917878
1880,"St. Ann's Church","New York City","New York","Gallaudet, Chamberlain, Lewis, Turner","regular","weekly",40.71274,-74.005974
1880,"Church of the Intercession","New York City","New York","Chamberlain","itinerant","once",40.71274,-74.005974
1880,"St. Andrew's Church","New York City","New York","Chamberlain","regular","monthly",40.71274,-74.005974
1880,"St. John's Chapel","New York City","New York","Gallaudet","promotional","once",40.71274,-74.005974
1880,"Christ Church","New York City","New York","Gallaudet","itinerant","once",40.71274,-74.005974
1880,"St. Ann's Church","New York City","New York","Gallaudet","itinerant","once",40.71274,-74.005974
1880,"Trinity Church","Asbury Park","New Jersey","Gallaudet","","",40.2203907,-74.0120817
1880,"Bethesda Church","Saratoga Springs","New York","Gallaudet","itinerant","once",43.0821793,-73.7853915
1880,"St. James' Church","Goshen","New York","Gallaudet","itinerant","once",41.4020382,-74.3243191
1880,"","Quarryville","New York","George W. Schutt","occasional","intermittent",42.1198121,-73.9870797
